id,Vcmax,Jmax,Rd,TPU,Vcmax_SE,Jmax_SE,Rd_SE,TPU_SE,rep,site,elevation,species,lma
poa_r1_cin,18.07090681,27.67073955,1.692814528,NA,4.661353492,NA,0.597371621,NA,1,cinnamon,3463,poaalp,60.99241902
poa_cinamon_r2,36.43663878,98.37629407,-0.569083304,NA,1.218376068,NA,0.400442832,NA,2,cinnamon,3463,poaalp,46.85026907
poaalp_cinnamon_ambient_ss2_r2,109.48566,176.2655322,8.770440925,9.632134489,3.141566583,NA,0.750823985,NA,2,cinnamon,3463,poaalp,
poa.r3_cin,8.21969307,29.88941269,-3.619972252,NA,1.303149425,NA,0.40239633,NA,3,cinnamon,3463,poaalp,
poaalp.cin.amb.ss4.r3,53.59553775,109.0419124,-5.655882933,6.61679585,0.596504814,NA,0.184124424,NA,3,cinnamon,3463,poaalp,
poa_cinamon_r3,43.89283451,122.3522901,0.508335964,8.956614961,0.394137304,NA,0.137483107,NA,4,cinnamon,3463,poaalp,
sencra_cin_ambient_ss3_r1,80.04791024,132.540043,2.328118734,8.502240644,1.243584006,NA,0.227779163,NA,1,cinnamon,3463,sencra,
senecio_r1_cin,105.3393652,346.5694696,-5.751738678,NA,1.957243607,NA,0.549965954,NA,1,cinnamon,3463,sencra,
sen_cinamon_r2,121.806098,305.6446041,4.056920235,19.65706434,2.788449075,NA,0.626777074,NA,2,cinnamon,3463,sencra,
sengra_cinnamon_ambient_ss1_r2,119.918861,227.564653,7.848941242,NA,1.990410654,NA,0.516984312,NA,2,cinnamon,3463,sencra,
sen.r3.curve2_cin,85.93029694,202.513463,-5.082684259,13.94085644,1.425968453,NA,0.342064296,NA,3,cinnamon,3463,sencra,
sencra.cin.amb.ss4.r3,93.10405666,178.1839364,4.947672442,11.28052719,0.788834642,NA,0.213928203,NA,3,cinnamon,3463,sencra,
