Latitude: 36.654554  Longitude: -106.860899
X & Y on Lambert Conformal Conic: -588131.34 -596176.65
Tile: 11377
Elevation: 2213 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,120,48555.79,0.00,582.89,0.00,20.32,-3.45,175.43
2022,121,48677.95,0.00,544.12,0.00,20.22,-0.23,241.96
2022,122,48798.85,0.00,461.18,0.00,19.48,3.81,394.40
2022,123,48918.45,0.00,517.28,0.00,17.93,-0.55,229.21
2022,124,49036.70,0.00,561.69,0.00,16.76,-4.71,146.58
2022,125,49153.55,0.00,586.32,0.00,22.26,-1.86,184.15
2022,126,49268.97,0.00,570.67,0.00,24.42,1.57,240.35
2022,127,49382.90,0.00,506.29,0.00,23.88,5.70,328.34
2022,128,49495.29,0.00,438.84,0.00,22.02,7.46,373.59
2022,129,49606.12,0.00,524.46,0.00,22.98,4.07,290.78
2022,130,49715.31,0.00,570.67,0.00,24.53,2.17,251.77
2022,131,49822.84,0.00,498.63,0.00,21.64,4.23,294.22
2022,132,49928.64,0.00,555.45,0.00,21.01,-0.03,212.50
2022,133,50032.68,0.00,590.42,0.00,23.65,-0.79,200.20
2022,134,50134.90,0.00,594.64,0.00,26.30,1.10,231.96
2022,135,50235.25,0.00,549.33,0.00,26.38,5.18,315.86
2022,136,50333.70,0.00,563.31,0.00,26.40,4.14,292.21
2022,137,50430.18,0.00,569.11,0.00,26.43,3.66,281.80
2022,138,50524.65,0.00,555.21,0.00,25.63,4.01,289.44
2022,139,50617.06,0.00,437.73,0.00,24.10,9.23,424.72
2022,140,50707.36,0.00,414.71,0.00,20.60,6.92,359.17
2022,141,50795.51,0.00,438.32,0.00,19.97,5.46,322.42
2022,142,50881.46,0.00,363.91,0.00,16.96,5.43,403.44
2022,143,50965.15,0.00,447.51,0.00,17.61,2.88,265.73
2022,144,51046.55,0.00,540.69,0.00,19.31,-0.29,208.21
2022,145,51125.61,0.00,600.94,0.00,25.12,0.12,215.02
2022,146,51202.27,0.00,597.30,0.00,26.89,2.09,250.28
2022,147,51276.50,0.00,546.92,0.00,26.61,5.99,335.28
2022,148,51348.26,0.00,400.47,0.00,23.32,10.33,459.75
2022,149,51417.48,0.00,503.70,0.00,20.62,3.15,271.19
2022,150,51484.15,0.00,537.13,0.00,19.51,0.28,217.72
2022,151,51548.21,0.00,552.32,0.00,22.50,2.14,251.19
2022,152,51609.62,0.00,560.13,0.00,25.04,3.86,286.02
2022,153,51668.34,0.00,563.31,0.00,25.93,4.39,297.64
2022,154,51724.34,0.00,540.44,0.00,26.29,6.37,344.86
2022,155,51777.57,0.00,529.49,0.00,25.51,6.45,346.90
2022,156,51828.02,0.00,555.76,0.00,27.17,6.32,343.67
2022,157,51875.63,0.00,562.68,0.00,28.51,6.96,360.32
2022,158,51920.38,0.00,565.21,0.00,29.24,7.27,368.51
2022,159,51962.23,0.00,516.13,0.00,29.28,10.59,468.13
2022,160,52001.17,0.00,567.53,0.00,31.22,8.89,414.46
2022,161,52037.15,0.00,574.47,0.00,32.07,8.96,416.59
2022,162,52070.17,0.00,545.76,0.00,31.19,10.37,461.06
2022,163,52100.18,0.00,539.85,0.00,30.24,10.00,449.03
2022,164,52127.18,0.00,459.99,0.00,27.80,12.24,526.20
2022,165,52151.14,0.00,528.49,0.00,27.69,8.63,406.71
2022,166,52172.04,0.00,579.24,0.00,29.98,7.09,363.66
2022,167,52189.88,0.00,557.35,0.00,30.70,9.50,433.19
2022,168,52204.64,4.64,338.26,0.00,26.99,12.02,518.00
2022,169,52216.30,8.08,292.42,0.00,24.51,12.17,523.49
2022,170,52224.86,10.04,298.55,0.00,23.23,10.64,469.83
2022,171,52230.31,14.78,330.37,0.00,23.38,9.08,420.33
2022,172,52232.65,11.10,313.40,0.00,23.01,9.40,583.59
2022,173,52231.88,10.72,234.46,0.00,19.62,9.79,920.78
2022,174,52228.00,0.00,455.58,0.00,25.44,10.34,591.89
2022,175,52221.00,0.00,388.53,0.00,23.80,11.56,768.51
2022,176,52210.91,23.02,277.92,0.00,22.91,11.34,988.54
2022,177,52197.71,26.59,225.73,0.00,19.82,10.72,1224.05
2022,178,52181.43,10.87,242.25,0.00,20.35,10.49,1268.12
2022,179,52162.07,5.99,372.96,0.00,25.56,8.55,935.72
2022,180,52139.64,0.00,529.20,0.00,27.51,8.95,770.98
2022,181,52114.18,0.00,519.34,0.00,28.34,10.29,849.52
2022,182,52085.68,0.00,446.86,0.00,26.10,11.78,1050.05
2022,183,52054.18,7.16,317.71,0.00,24.80,11.42,1225.64
2022,184,52019.69,9.41,286.70,0.00,24.69,12.92,1435.52
2022,185,51982.24,8.27,360.59,0.00,25.48,9.82,1099.57
2022,186,51941.85,0.00,438.55,0.00,25.65,12.10,1198.00
2022,187,51898.56,2.34,373.54,0.00,25.88,9.61,1092.71
2022,188,51852.39,0.00,545.74,0.00,28.26,9.50,892.11
2022,189,51803.37,0.00,576.09,0.00,29.87,8.61,804.79
2022,190,51751.54,0.00,536.27,0.00,30.05,11.60,1026.51
2022,191,51696.93,1.71,543.81,0.00,30.83,11.89,1033.47
2022,192,51639.57,0.00,500.87,0.00,27.51,11.51,1084.31
2022,193,51579.51,8.84,352.60,0.00,25.49,10.96,1235.70
2022,194,51516.79,0.00,555.64,0.00,29.98,10.50,972.64
2022,195,51451.43,0.00,520.38,0.00,29.35,12.11,1126.35
2022,196,51383.49,0.00,533.99,0.00,31.39,13.13,1175.60
2022,197,51313.01,0.00,545.35,0.00,31.79,12.83,1137.31
2022,198,51240.02,0.00,549.17,0.00,32.02,12.61,1116.18
2022,199,51164.58,0.00,530.77,0.00,30.69,12.50,1138.47
2022,200,51086.72,0.00,542.46,0.00,32.40,12.95,1149.51
2022,201,51006.50,0.00,517.66,0.00,31.61,13.67,1242.74
2022,202,50923.96,0.00,504.98,0.00,30.33,13.18,1227.90
2022,203,50839.14,0.00,507.16,0.00,31.47,13.78,1268.19
2022,204,50752.09,0.00,486.24,0.00,29.43,13.07,1250.67
2022,205,50662.87,16.95,313.08,0.00,27.90,14.33,1627.77
2022,206,50571.52,7.46,327.20,0.00,26.64,12.40,1439.32
2022,207,50478.08,5.20,261.11,0.00,23.94,13.26,1522.31
2022,208,50382.61,8.65,294.70,0.00,24.37,12.01,1402.91
2022,209,50285.15,19.54,286.46,0.00,24.07,12.22,1422.32
2022,210,50185.75,0.00,357.55,0.00,24.11,13.25,1521.83
2022,211,50084.47,13.08,301.77,0.00,24.61,12.19,1419.35
2022,212,49981.34,9.66,326.97,0.00,25.63,11.76,1380.11
2022,213,49876.42,0.00,457.14,0.00,27.26,12.23,1423.46
2022,214,49769.76,0.00,474.88,0.00,28.01,11.91,1393.61
2022,215,49661.40,3.65,323.08,0.00,27.09,13.08,1504.81
2022,216,49551.39,0.00,435.49,0.00,27.90,13.56,1552.97
2022,217,49439.78,0.00,432.03,0.00,27.10,13.07,1503.49
2022,218,49326.62,15.79,292.37,0.00,25.09,13.04,1500.53
2022,219,49211.95,6.23,296.05,0.00,25.46,13.35,1531.46
2022,220,49095.81,9.48,304.80,0.00,25.05,12.67,1464.66
2022,221,48978.26,0.00,473.46,0.00,27.37,11.91,1393.64
2022,222,48859.34,0.00,438.47,0.00,25.30,11.73,1377.32
2022,223,48739.09,0.00,495.71,0.00,27.52,10.85,1298.63
2022,224,48617.56,0.00,496.29,0.00,28.52,11.62,1367.00
2022,225,48494.79,0.00,500.01,0.00,28.73,11.54,1359.88
2022,226,48370.82,0.00,504.19,0.00,28.99,11.45,1351.47
2022,227,48245.69,4.25,368.45,0.00,27.69,11.10,1320.43
2022,228,48119.45,11.14,335.55,0.00,24.60,10.73,1288.83
